4b-3. Final stats from AP classifier (titanicR, max iters 10, feature normalization over 100 iters.):
-- Accuracy: 0.802113%

4b-4. Final stats from AP classifier (titanicR, max iters 10, feature normalization over 100 iters.):
-- Accuracy: 0.781972%

4b-5. Final stats from AP classifier (titanicR, max iters 10, feature normalization over 100 iters.):
-- Accuracy: 0.789014%

4b-6. Final stats from AP classifier (titanicR, max iters 10, feature normalization over 100 iters.):
-- Accuracy: 0.843803%

4b-7. Final stats from AP classifier (titanicR, max iters 10, feature normalization over 100 iters.):
-- Accuracy: 0.826901%

4b-8. Final stats from AP classifier (titanicR, max iters 10, feature normalization over 100 iters.):
-- Accuracy: 0.805915%

4b-9. Final stats from AP classifier (titanicR, max iters 10, feature normalization over 100 iters.):
-- Accuracy: 0.847867%

4b-10 Final average accuracy: 0.792730%

4c-0. Final stats from AP classifier (titanicR, max iters 10, both normalizations over 100 iters.):
-- Accuracy: 0.551127%

4c-1. Final stats from AP classifier (titanicR, max iters 10, both normalizations over 100 iters.):
-- Accuracy: 0.801127%

4c-2. Final stats from AP classifier (titanicR, max iters 10, both normalizations over 100 iters.):
-- Accuracy: 0.817465%

4c-3. Final stats from AP classifier (titanicR, max iters 10, both normalizations over 100 iters.):
-- Accuracy: 0.780986%

4c-4. Final stats from AP classifier (titanicR, max iters 10, both normalizations over 100 iters.):
-- Accuracy: 0.713803%

4c-5. Final stats from AP classifier (titanicR, max iters 10, both normalizations over 100 iters.):
-- Accuracy: 0.792817%

4c-6. Final stats from AP classifier (titanicR, max iters 10, both normalizations over 100 iters.):
-- Accuracy: 0.764225%

4c-7. Final stats from AP classifier (titanicR, max iters 10, both normalizations over 100 iters.):
-- Accuracy: 0.741408%

4c-8. Final stats from AP classifier (titanicR, max iters 10, both normalizations over 100 iters.):
-- Accuracy: 0.761972%

4c-9. Final stats from AP classifier (titanicR, max iters 10, both normalizations over 100 iters.):
-- Accuracy: 0.795867%

4c-10 Final average accuracy: 0.752080%

4d-0. Final stats from KNN classifier (titanicR, K set at 3, ex. normalization over 100 iters.):
-- Accuracy: 0.760563%

4d-1. Final stats from KNN classifier (titanicR, K set at 3, ex. normalization over 100 iters.):
-- Accuracy: 0.732394%

4d-2. Final stats from KNN classifier (titanicR, K set at 3, ex. normalization over 100 iters.):
-- Accuracy: 0.704225%

4d-3. Final stats from KNN classifier (titanicR, K set at 3, ex. normalization over 100 iters.):
-- Accuracy: 0.661972%

4d-4. Final stats from KNN classifier (titanicR, K set at 3, ex. normalization over 100 iters.):
-- Accuracy: 0.647887%

4d-5. Final stats from KNN classifier (titanicR, K set at 3, ex. normalization over 100 iters.):
-- Accuracy: 0.577465%

4d-6. Final stats from KNN classifier (titanicR, K set at 3, ex. normalization over 100 iters.):
-- Accuracy: 0.521127%

4d-7. Final stats from KNN classifier (titanicR, K set at 3, ex. normalization over 100 iters.):
-- Accuracy: 0.732394%

4d-8. Final stats from KNN classifier (titanicR, K set at 3, ex. normalization over 100 iters.):
-- Accuracy: 0.704225%

4d-9. Final stats from KNN classifier (titanicR, K set at 3, ex. normalization over 100 iters.):
-- Accuracy: 0.533333%

4d-10 Final average accuracy: 0.657559%

4e-0. Final stats from KNN classifier (titanicR, K set at 3, feature normalization over 100 iters.):
-- Accuracy: 0.591549%

4e-1. Final stats from KNN classifier (titanicR, K set at 3, feature normalization over 100 iters.):
-- Accuracy: 0.676056%

4e-2. Final stats from KNN classifier (titanicR, K set at 3, feature normalization over 100 iters.):
-- Accuracy: 0.845070%

4e-3. Final stats from KNN classifier (titanicR, K set at 3, feature normalization over 100 iters.):
-- Accuracy: 0.760563%

4e-4. Final stats from KNN classifier (titanicR, K set at 3, feature normalization over 100 iters.):
-- Accuracy: 0.746479%

4e-5. Final stats from KNN classifier (titanicR, K set at 3, feature normalization over 100 iters.):
-- Accuracy: 0.746479%

4e-6. Final stats from KNN classifier (titanicR, K set at 3, feature normalization over 100 iters.):
-- Accuracy: 0.830986%

4e-7. Final stats from KNN classifier (titanicR, K set at 3, feature normalization over 100 iters.):
-- Accuracy: 0.774648%

4e-8. Final stats from KNN classifier (titanicR, K set at 3, feature normalization over 100 iters.):
-- Accuracy: 0.746479%

4e-9. Final stats from KNN classifier (titanicR, K set at 3, feature normalization over 100 iters.):
-- Accuracy: 0.813333%

4e-10 Final average accuracy: 0.753164%

4f-0. Final stats from KNN classifier (titanicR, K set at 3, both normalizations over 100 iters.):
-- Accuracy: 0.426620%

